Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Area_under_ROC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_area_under_ROC,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Summary,measureTreeSize,measureNumLeaves,measureNumRules,measureOutOfBagError
iris,1,1,"weka,classifiers,trees,J48","-C 0,25 -M 2'",-217733168393644444,"2,02E+07",135,15,14,1,0,"93,33333333","6,666666667",0,"0,9","0,0450160138","0,1693176549","10,1286031","35,91769858","23,77443751","2,632715099","21,14172241","1,584962501","0,17551434","1,409448161","21,6156536","1,441043573","1363,7959",1,5,0,0,1,10,0,0,1,1,1,1,"0,9333333333","0,03333333333","0,9666666667","0,06666666667","0,9444444444","0,9333333333","0,9326599327",1,"0,001",0,0,0,4397,11019,2739,Number of leaves: 4\nSize of the tree: 7\n',7,4,4,?
iris,1,2,"weka,classifiers,trees,J48","-C 0,25 -M 2'",-217733168393644444,"2,02E+07",135,15,15,0,0,100,0,0,1,"0,01058801286","0,01588652035","2,382302893","3,370039881","23,77443751","0,3478562083","23,4265813","1,584962501","0,02319041388","1,561772087","23,4265813","1,561772087","1478,052717",1,5,0,0,1,10,0,0,1,1,1,1,1,0,1,0,1,1,1,1,"0,001",0,0,0,4798,11019,2739,Number of leaves: 5\nSize of the tree: 9\n',9,5,5,?
iris,1,3,"weka,classifiers,trees,J48","-C 0,25 -M 2'",-217733168393644444,"2,02E+07",135,15,15,0,0,100,0,0,1,"0,01058801286","0,01588652035","2,382302893","3,370039881","23,77443751","0,3478562083","23,4265813","1,584962501","0,02319041388","1,561772087","23,4265813","1,561772087","1478,052717",1,5,0,0,1,10,0,0,1,1,1,1,1,0,1,0,1,1,1,1,"0,001",0,0,0,4798,11019,2739,Number of leaves: 5\nSize of the tree: 9\n',9,5,5,?
iris,1,4,"weka,classifiers,trees,J48","-C 0,25 -M 2'",-217733168393644444,"2,02E+07",135,15,15,0,0,100,0,0,1,"0,01058801286","0,01588652035","2,382302893","3,370039881","23,77443751","0,3478562083","23,4265813","1,584962501","0,02319041388","1,561772087","23,4265813","1,561772087","1478,052717",1,5,0,0,1,10,0,0,1,1,1,1,1,0,1,0,1,1,1,1,"0,001",0,0,0,4798,11019,2739,Number of leaves: 5\nSize of the tree: 9\n',9,5,5,?
iris,1,5,"weka,classifiers,trees,J48","-C 0,25 -M 2'",-217733168393644444,"2,02E+07",135,15,14,1,0,"93,33333333","6,666666667",0,"0,9","0,05865633075","0,2127797543","13,19767442","45,13740215","23,77443751","5,977091582","17,79734593","1,584962501","0,3984727721","1,186489729","21,08763301","1,405842201","1330,48151",1,5,0,0,1,10,0,0,1,1,1,1,"0,9333333333","0,03333333333","0,9666666667","0,06666666667","0,9444444444","0,9333333333","0,9326599327","0,96","0,001",0,0,0,4397,11019,2739,Number of leaves: 4\nSize of the tree: 7\n',7,4,4,?
iris,1,6,"weka,classifiers,trees,J48","-C 0,25 -M 2'",-217733168393644444,"2,02E+07",135,15,15,0,0,100,0,0,1,"0,009400762889","0,01486492981","2,11517165","3,153327801","23,77443751","0,3087983323","23,46563918","1,584962501","0,02058655548","1,564375945","23,46563918","1,564375945","1480,516994",1,5,0,0,1,10,0,0,1,1,1,1,1,0,1,0,1,1,1,1,"0,001",0,0,0,4798,11019,2739,Number of leaves: 5\nSize of the tree: 9\n',9,5,5,?
iris,1,7,"weka,classifiers,trees,J48","-C 0,25 -M 2'",-217733168393644444,"2,02E+07",135,15,13,2,0,"86,66666667","13,33333333",0,"0,8","0,09312169312","0,2983113641","20,95238095","63,28139653","23,77443751","2148,139062","-2124,364624","1,584962501","143,2092708","-141,6243083","19,29552584","1,286368389","1217,412136","0,8",4,0,0,1,10,"0,2",1,1,"0,8","0,8888888889","0,9","0,8666666667","0,06666666667","0,9333333333","0,1333333333","0,9047619048","0,8666666667","0,8703703704","0,9","0,001",0,0,0,4798,11019,2739,Number of leaves: 5\nSize of the tree: 9\n',9,5,5,?
iris,1,8,"weka,classifiers,trees,J48","-C 0,25 -M 2'",-217733168393644444,"2,02E+07",135,15,13,2,0,"86,66666667","13,33333333",0,"0,8","0,09185185185","0,2949971519","20,66666667","62,57834596","23,77443751","1079,621539","-1055,847101","1,584962501","71,97476927","-70,38980677","19,33732307","1,289154872","1220,049248",1,5,0,0,1,10,0,0,1,1,1,1,"0,8666666667","0,06666666667","0,9333333333","0,1333333333","0,8666666667","0,8666666667","0,8666666667","0,9166666667",0,0,0,0,4397,11019,2739,Number of leaves: 4\nSize of the tree: 7\n',7,4,4,?
iris,1,9,"weka,classifiers,trees,J48","-C 0,25 -M 2'",-217733168393644444,"2,02E+07",135,15,15,0,0,100,0,0,1,"0,009400762889","0,01486492981","2,11517165","3,153327801","23,77443751","0,3087983323","23,46563918","1,584962501","0,02058655548","1,564375945","23,46563918","1,564375945","1480,516994",1,5,0,0,1,10,0,0,1,1,1,1,1,0,1,0,1,1,1,1,"0,001",0,0,0,4798,11019,2739,Number of leaves: 5\nSize of the tree: 9\n',9,5,5,?
iris,1,10,"weka,classifiers,trees,J48","-C 0,25 -M 2'",-217733168393644444,"2,02E+07",135,15,15,0,0,100,0,0,1,"0,01058801286","0,01588652035","2,382302893","3,370039881","23,77443751","0,3478562083","23,4265813","1,584962501","0,02319041388","1,561772087","23,4265813","1,561772087","1478,052717",1,5,0,0,1,10,0,0,1,1,1,1,1,0,1,0,1,1,1,1,"0,001",0,0,0,4798,11019,2739,Number of leaves: 5\nSize of the tree: 9\n',9,5,5,?
